ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission,swap,profit,equity,margin_level,close_reason
417038440,2026-07-29T16:35:16,2026-07-29T16:36:03,sell,0.01,0.01,XAUUSDm,4017.07,4017.031,4017.025,,,,0.04,,,sl
416792996,2026-07-29T11:58:03,2026-07-29T12:26:25,buy,0.01,0.01,USOILm,81.615,83.245,82.837,,,,16.3,,,user
416756329,2026-07-29T10:47:39,2026-07-29T11:04:43,buy,0.01,0.01,USOILm,81.918,82.156,81.919,,,,2.38,,,user
416374503,2026-07-28T17:40:44,2026-07-28T21:09:19,sell,0.01,0.01,EURUSDm,1.13927,1.13926,1.13926,1.13537,,,0.01,,,sl
416373082,2026-07-28T17:38:18,2026-07-28T17:48:27,buy,0.01,0.01,USOILm,78.473,78.475,78.475,80.642,,,0.02,,,sl
416372664,2026-07-28T17:37:22,2026-07-28T17:37:44,buy,0.01,0.01,XAUUSDm,4033.408,4032.139,4032.248,,,,-1.27,,,sl
416370452,2026-07-28T17:31:56,2026-07-28T17:35:49,buy,0.01,0.01,XAUUSDm,4035.446,4034.099,4034.099,,,,-1.35,,,sl
416368460,2026-07-28T17:26:03,2026-07-28T17:28:49,buy,0.01,0.01,XAUUSDm,4037.273,4037.285,4037.285,,,,0.02,,,sl
416364115,2026-07-28T17:16:05,2026-07-28T17:22:33,buy,0.01,0.01,XAUUSDm,4036.497,4037.773,4036.554,,,,1.27,,,user
416361208,2026-07-28T17:08:45,2026-07-28T17:10:41,sell,0.01,0.01,XAUUSDm,4039.515,4038.279,4039.511,,,,1.24,,,user
416352690,2026-07-28T16:48:22,2026-07-28T16:52:54,buy,0.01,0.01,XAUUSDm,4039.09,4037.304,4037.304,,,,-1.79,,,sl
415665268,2026-07-27T17:15:18,2026-07-27T17:17:03,sell,0.01,0.01,XAUUSDm,4073.04,4075.724,4075.724,,,,-2.68,,,sl
414802894,2026-07-26T08:04:52,2026-07-26T11:10:27,buy,0.01,0.01,BTCUSDm,64302.54,64438.310000000005,,,,,1.35,,,user
414752831,2026-07-25T10:19:35,2026-07-25T11:03:38,sell,0.01,0.01,BTCUSDm,63966.37,64036.64,64036.64,63728.46,,,-0.71,,,sl
414532563,2026-07-24T13:50:42,2026-07-24T13:52:36,sell,0.01,0.01,XAUUSDm,4057.623,4057.711,4057.566,,,,-0.09,,,sl
414483722,2026-07-24T12:53:16,2026-07-24T12:55:20,sell,0.01,0.01,USOILm,88.133,88.13,88.13,,,,0.03,,,sl
414474918,2026-07-24T12:35:10,2026-07-24T12:52:32,buy,0.01,0.01,USOILm,88.147,88.142,88.147,,,,-0.05,,,sl
414481749,2026-07-24T12:47:58,2026-07-24T12:52:21,buy,0.01,0.01,XAUUSDm,4052.822,4054.453,4052.831,,,,1.63,,,user
414474803,2026-07-24T12:34:56,2026-07-24T12:35:01,buy,0.01,0.01,USOILm,88.171,88.074,88.097,,,,-0.97,,,sl
414474112,2026-07-24T12:33:22,2026-07-24T12:34:12,buy,0.01,0.01,USOILm,88.214,88.212,88.109,,,,-0.02,,,user
414473021,2026-07-24T12:30:59,2026-07-24T12:31:30,sell,0.01,0.01,XAUUSDm,4058.765,4057.8179999999998,4062.012,,,,0.95,,,user
414471678,2026-07-24T12:27:41,2026-07-24T12:28:48,sell,0.01,0.01,XAUUSDm,4059.93,4059.873,4059.873,,,,0.06,,,sl
414470387,2026-07-24T12:25:12,2026-07-24T12:27:32,sell,0.01,0.01,XAUUSDm,4056.634,4060.004,4060.004,,,,-3.37,,,sl
414469362,2026-07-24T12:23:44,2026-07-24T12:25:02,sell,0.01,0.01,XAUUSDm,4057.016,4059.106,4059.106,,,,-2.09,,,sl
414468021,2026-07-24T12:19:56,2026-07-24T12:22:13,sell,0.01,0.01,XAUUSDm,4056.449,4056.044,4058.648,,,,0.41,,,user
414459195,2026-07-24T12:00:38,2026-07-24T12:08:31,buy,0.01,0.01,USOILm,88.04,88.638,88.041,,,,5.98,,,user
414443852,2026-07-24T11:36:38,2026-07-24T11:45:49,sell,0.01,0.01,XAUUSDm,4059.214,4056.865,4059.201,,,,2.34,,,user
414419200,2026-07-24T10:29:39,2026-07-24T11:03:47,sell,0.01,0.01,XAUUSDm,4062.743,4062.711,4062.711,,,,0.03,,,sl
414416087,2026-07-24T10:26:11,2026-07-24T10:27:58,sell,0.01,0.01,XAUUSDm,4060.998,4063.337,4063.337,,,,-2.34,,,sl
414409241,2026-07-24T10:13:21,2026-07-24T10:24:20,buy,0.01,0.01,USOILm,88.24,88.242,88.242,,,,0.02,,,sl
414413392,2026-07-24T10:19:26,2026-07-24T10:23:29,sell,0.01,0.01,XAUUSDm,4060.246,4061.107,4062.067,,,,-0.86,,,user
414405520,2026-07-24T10:05:08,2026-07-24T10:12:04,sell,0.01,0.01,XAUUSDm,4059.804,4059.04,4061.526,,,,0.76,,,user
414368032,2026-07-24T08:59:46,2026-07-24T09:03:46,sell,0.01,0.01,XAUUSDm,4058.05,4058.045,4058.045,,,,,,,sl
414364591,2026-07-24T08:54:53,2026-07-24T08:59:31,sell,0.01,0.01,XAUUSDm,4055.954,4058.965,4058.965,,,,-3.02,,,sl
414037797,2026-07-23T19:00:27,2026-07-23T19:21:01,sell,0.01,0.01,XAUUSDm,4048.101,4046.083,4048.057,,,,2.02,,,user
